Symbol,price,size,timestamp,exchange,conditions,id,tape
ASH,23.146747352496188,200,4,4,4,4,4
ASH,23.29803328290495,30,2,2,2,2,2
ASH,23.29803328290495,37,2,2,2,2,2
ASH,23.29803328290495,47,2,2,2,2,2
ASH,23.29803328290495,100,2,2,2,2,2
ASH,23.449319213313284,1,14,14,14,14,14
ASH,23.449319213313284,2,10,10,10,10,10
ASH,23.449319213313284,3,2,2,2,2,2
ASH,23.449319213313284,5,2,2,2,2,2
ASH,23.449319213313284,6,2,2,2,2,2
ASH,23.449319213313284,7,2,2,2,2,2
ASH,23.449319213313284,8,1,1,1,1,1
ASH,23.449319213313284,9,2,2,2,2,2
ASH,23.449319213313284,10,6,6,6,6,6
ASH,23.449319213313284,19,4,4,4,4,4
ASH,23.449319213313284,20,2,2,2,2,2
ASH,23.449319213313284,21,2,2,2,2,2
ASH,23.449319213313284,25,2,2,2,2,2
ASH,23.449319213313284,30,2,2,2,2,2
ASH,23.449319213313284,60,2,2,2,2,2
ASH,23.449319213313284,79,2,2,2,2,2
ASH,23.449319213313284,90,4,4,4,4,4
ASH,23.449319213313284,99,2,2,2,2,2
ASH,23.449319213313284,100,10,10,10,10,10
ASH,23.449319213313284,101,2,2,2,2,2
ASH,23.449319213313284,158,2,2,2,2,2
ASH,23.449319213313284,200,3,3,3,3,3
ASH,23.60060514372162,1,2,2,2,2,2
ASH,23.60060514372162,4,2,2,2,2,2
ASH,23.60060514372162,10,4,4,4,4,4
ASH,23.60060514372162,100,2,2,2,2,2
ASH,23.751891074130384,1,14,14,14,14,14
ASH,23.751891074130384,2,14,14,14,14,14
ASH,23.751891074130384,4,8,8,8,8,8
ASH,23.751891074130384,5,2,2,2,2,2
ASH,23.751891074130384,6,4,4,4,4,4
ASH,23.751891074130384,7,4,4,4,4,4
ASH,23.751891074130384,9,2,2,2,2,2
ASH,23.751891074130384,10,6,6,6,6,6
ASH,23.751891074130384,17,4,4,4,4,4
ASH,23.751891074130384,20,5,5,5,5,5
ASH,23.751891074130384,28,2,2,2,2,2
ASH,23.751891074130384,33,2,2,2,2,2
ASH,23.751891074130384,48,2,2,2,2,2
ASH,23.751891074130384,58,2,2,2,2,2
ASH,23.751891074130384,76,2,2,2,2,2
ASH,23.751891074130384,98,2,2,2,2,2
ASH,23.751891074130384,100,21,21,21,21,21
ASH,23.751891074130384,166,2,2,2,2,2
ASH,23.90317700453872,10,2,2,2,2,2
ASH,24.03025718608175,100,2,2,2,2,2
ASH,24.05446293494705,1,13,13,13,13,13
ASH,24.05446293494705,2,6,6,6,6,6
ASH,24.05446293494705,3,2,2,2,2,2
ASH,24.05446293494705,4,6,6,6,6,6
ASH,24.05446293494705,6,2,2,2,2,2
ASH,24.05446293494705,7,4,4,4,4,4
ASH,24.05446293494705,12,2,2,2,2,2
ASH,24.05446293494705,13,4,4,4,4,4
ASH,24.05446293494705,15,4,4,4,4,4
ASH,24.05446293494705,20,3,3,3,3,3
ASH,24.05446293494705,30,4,4,4,4,4
ASH,24.05446293494705,45,2,2,2,2,2
ASH,24.05446293494705,60,2,2,2,2,2
ASH,24.05446293494705,94,2,2,2,2,2
ASH,24.05446293494705,100,19,19,19,19,19
ASH,24.05446293494705,427,2,2,2,2,2
ASH,24.05446293494705,468,2,2,2,2,2
ASH,24.05748865355532,8,2,2,2,2,2
ASH,24.20574886535581,34,2,2,2,2,2
ASH,24.20574886535581,100,2,2,2,2,2
ASH,24.20574886535581,164,2,2,2,2,2
ASH,24.35703479576415,1,19,19,19,19,19
ASH,24.35703479576415,2,14,14,14,14,14
ASH,24.35703479576415,3,3,3,3,3,3
ASH,24.35703479576415,4,1,1,1,1,1
ASH,24.35703479576415,5,2,2,2,2,2
ASH,24.35703479576415,6,1,1,1,1,1
ASH,24.35703479576415,8,2,2,2,2,2
ASH,24.35703479576415,10,2,2,2,2,2
ASH,24.35703479576415,11,4,4,4,4,4
ASH,24.35703479576415,12,2,2,2,2,2
ASH,24.35703479576415,14,2,2,2,2,2
ASH,24.35703479576415,15,2,2,2,2,2
ASH,24.35703479576415,20,5,5,5,5,5
ASH,24.35703479576415,21,1,1,1,1,1
ASH,24.35703479576415,22,2,2,2,2,2
ASH,24.35703479576415,24,2,2,2,2,2
ASH,24.35703479576415,25,6,6,6,6,6
ASH,24.35703479576415,30,2,2,2,2,2
ASH,24.35703479576415,33,2,2,2,2,2
ASH,24.35703479576415,34,2,2,2,2,2
ASH,24.35703479576415,37,2,2,2,2,2
ASH,24.35703479576415,39,1,1,1,1,1
ASH,24.35703479576415,40,2,2,2,2,2
ASH,24.35703479576415,45,7,7,7,7,7
ASH,24.35703479576415,48,1,1,1,1,1
