Symbol,size,p,price,timestamp
ASH,76,"(60, 75]",65.19634124037822,10
ASH,76,"(75, 90]",80.25078369905951,3
ASH,76,"(90, 105]",91.40225179119751,1
ASH,77,"(0, 15]",11.404435640419397,8
ASH,77,"(15, 30]",23.103542065529943,13
ASH,77,"(30, 45]",33.65125151204997,7
ASH,77,"(45, 60]",55.910951893551726,8
ASH,77,"(60, 75]",68.6736956263657,9
ASH,77,"(75, 90]",76.75479604572884,5
ASH,77,"(90, 105]",94.06345957011261,2
ASH,78,"(0, 15]",6.405433646813003,15
ASH,78,"(15, 30]",23.9437864221686,13
ASH,78,"(30, 45]",35.599901888328915,9
ASH,78,"(45, 60]",53.64985577370434,2
ASH,78,"(60, 75]",67.94210183985356,14
ASH,78,"(75, 90]",83.62431536627705,5
ASH,78,"(90, 105]",96.55407710678958,6
ASH,79,"(0, 15]",8.365998601766128,9
ASH,79,"(15, 30]",23.088876981440524,12
ASH,79,"(30, 45]",40.32753326509737,10
ASH,79,"(45, 60]",51.094513411387766,9
ASH,79,"(60, 75]",64.69130652873993,15
ASH,79,"(75, 90]",80.2730433192262,4
ASH,79,"(90, 105]",96.792903445923,3
ASH,80,"(0, 15]",8.244727121566923,18
ASH,80,"(15, 30]",22.313652158669132,22
ASH,80,"(30, 45]",36.261282218293516,11
ASH,80,"(45, 60]",55.63857664941215,28
ASH,80,"(60, 75]",65.7125681189203,17
ASH,80,"(75, 90]",80.86881170218619,13
ASH,80,"(90, 105]",96.98055271238485,11
ASH,81,"(0, 15]",5.982236154649956,6
ASH,81,"(15, 30]",21.60336645671768,10
ASH,81,"(30, 45]",41.16117943633577,3
ASH,81,"(60, 75]",67.50256888048949,8
ASH,81,"(75, 90]",82.01616664619974,11
ASH,81,"(90, 105]",98.08938928693287,3
ASH,82,"(0, 15]",9.683370224523738,14
ASH,82,"(15, 30]",16.22208924383079,2
ASH,82,"(30, 45]",30.296827021494565,4
ASH,82,"(45, 60]",54.031616058228266,9
ASH,82,"(60, 75]",65.56517420704061,9
ASH,82,"(75, 90]",78.3494590132433,9
ASH,82,"(90, 105]",93.44933469805542,1
ASH,83,"(0, 15]",11.182529749218824,13
ASH,83,"(15, 30]",16.034370457834292,5
ASH,83,"(30, 45]",32.46355037331997,4
ASH,83,"(45, 60]",55.68026545155696,7
ASH,83,"(60, 75]",65.5433646812957,6
ASH,83,"(75, 90]",87.10337768679628,2
ASH,83,"(90, 105]",96.82743091095189,5
